skills,match_score
Python,1
Java,0
SQL,1
Machine Learning,1
Web Development,0
JavaScript,1
React,0
Angular,1
Node.js,0
Data Analysis,1
Python,1
Java,0
SQL,1
Machine Learning,1
Web Development,0
JavaScript,1
React,0
Angular,1
Node.js,0
Data Analysis,1
Python,1
Java,0
SQL,1
Machine Learning,1
Web Development,0
JavaScript,1
React,0
Angular,1
Node.js,0
Data Analysis,1
Python,1
Java,0
SQL,1
Machine Learning,1
Web Development,0
JavaScript,1
React,0
Angular,1
Node.js,0
Data Analysis,1
Python,1
Java,0
SQL,1
Machine Learning,1
Web Development,0
JavaScript,1
React,0
Angular,1
Node.js,0
Data Analysis,1
Python,1
Java,0
SQL,1
Machine Learning,1
Web Development,0
JavaScript,1
React,0
Angular,1
Node.js,0
Data Analysis,1
Python,1
Java,0
SQL,1
Machine Learning,1
Web Development,0
JavaScript,1
React,0
Angular,1
Node.js,0
Data Analysis,1
Python,1
Java,0
SQL,1
Machine Learning,1
Web Development,0
JavaScript,1
React,0
Angular,1
Node.js,0
Data Analysis,1
Python,1
Java,0
SQL,1
Machine Learning,1
Web Development,0
JavaScript,1
React,0
Angular,1
Node.js,0
Data Analysis,1
Python,1
Java,0
SQL,1
Machine Learning,1
Web Development,0
JavaScript,1
React,0
Angular,1
Node.js,0
Data Analysis,1